,Yoon,Barton,Name,Corr,dx/sx,Cons/prog,Ind/col,Flame,Agreeableness,Conscientiousness,Em Stability,Extroversion,Openness,Social Use
35,0.34082943207877003,24.266666666666666,R_6PrLCtzqNrZo51L,0.3762549369431826,75,1,19,40,53.0,38.0,24.5,23.5,61.0,37.0
36,0.3892302398813422,32.13333333333333,R_5mPI7n14M3pSBm9,0.442240992788443,91,2,3,50,54.5,35.0,33.0,24.0,91.0,47.833333333333336
37,0.215437517481132,14.633333333333333,R_5jUoSPjyLj5XTjz,0.6664613348842864,51,4,17,23,71.5,69.0,21.5,43.5,74.5,30.166666666666668
38,0.23126709375933413,18.7,R_5dIRWthnSgHADCh,0.8521454224450413,100,2,100,100,60.0,72.0,72.0,9.0,54.0,34.666666666666664
39,0.21878181942318,17.433333333333334,R_4SDCAs7bhcT9ZBv,0.6661931401297092,62,49,43,11,55.0,83.0,65.0,54.5,58.5,0.8333333333333334
40,0.20108453609915974,13.1,R_3qwDQXkkFH0I4w8,0.4674640413077782,76,36,42,29,69.5,53.5,68.0,57.5,64.5,45.0
41,0.20901744996397761,18.5,R_3qg9lmkdRQpudKN,0.6153273191845776,34,4,6,55,31.0,16.0,10.0,50.0,73.0,49.833333333333336
42,0.28511048971309844,21.966666666666665,R_3pbrtPpH7ynqZZD,0.3317644491570042,100,26,19,17,51.0,70.5,69.5,24.0,70.0,25.33333333333333
43,0.31148526820748945,29.3,R_3npBu1PTYTxU8XD,0.4509128593277784,73,10,48,2,17.0,50.5,17.5,43.5,82.0,68.83333333333333
44,0.36591368882809616,31.5,R_3lXfafBbiRv4qq9,-0.1059499951152352,91,36,75,88,54.5,78.5,80.0,42.0,96.0,17.5
45,0.42810583990431245,34.166666666666664,R_3lFfVa21hZfug7t,0.5179669812099871,100,1,50,88,84.5,56.5,59.5,49.0,55.0,75.83333333333333
46,0.3292684494007784,31.366666666666667,R_3kFJfDVTSn0wwIo,0.3812022497853141,17,12,69,75,53.0,44.0,62.0,18.0,72.5,77.16666666666667
47,0.23693305116980215,18.566666666666666,R_3kBBJDKHju3xK28,0.5945599838486789,91,28,50,35,82.0,80.5,43.0,77.5,92.0,47.66666666666666
48,0.3747987672111239,31.5,R_3ixy9GoaVmRCrGo,0.1960770702624697,52,0,1,2,40.5,57.0,0.5,73.5,39.0,37.833333333333336
49,0.2574742331090168,21.366666666666667,R_3hyYvqdBIeuGNLR,0.5241093658321344,17,0,0,15,71.0,29.5,56.5,18.0,37.5,40.833333333333336
50,0.41169521770795925,35.766666666666666,R_3gLx0Fytk5k5EtK,0.1638072645813061,100,3,1,2,95.0,0.5,99.5,84.5,74.5,2.5
51,0.3093767540470747,23.5,R_3ff4Ij2QrGuv6tc,0.5323538662419707,30,0,5,74,22.5,43.5,36.0,26.5,31.0,57.0
52,0.24303973401681905,18.066666666666666,R_3fBu0Bik9lSJnzQ,0.6999311527687272,87,1,30,49,51.0,61.5,11.0,10.0,73.0,19.666666666666668
53,0.4410921242131676,32.53333333333333,R_3eePwclQwvdPGHU,-0.1268087586396871,22,3,4,7,74.0,83.5,40.5,76.5,89.0,45.66666666666666
54,0.16629482486971606,11.7,R_3dJQA1zdhP0glcQ,0.8759863424208674,100,2,30,71,32.5,29.0,18.5,18.5,82.0,71.66666666666667
55,0.2309973533342389,16.8,R_3Rz3IM4PEoSY1Hj,0.6596860185436911,86,22,22,58,46.0,64.5,28.0,46.5,76.5,50.5
56,0.35556314044509507,25.8,R_3R8WV0I74cAEcI4,0.4248876567422707,62,4,8,52,72.5,49.5,86.0,7.5,78.0,16.666666666666668
57,0.3721102400220707,29.833333333333332,R_3QXmeizb2aQ8se6,0.2636125418695029,87,1,7,3,14.5,49.0,8.5,9.0,48.5,47.5
58,0.13645358707860716,11.1,R_3QFRbBNnCWRCZk7,0.8540338208246049,62,2,4,47,51.5,26.5,31.0,12.0,59.5,31.666666666666668
59,0.21299609927094934,17.4,R_3PYM2haetl51vYW,0.6879665455115032,94,2,0,18,50.0,28.5,65.0,46.0,89.5,53.5
60,0.19953557185057022,13.133333333333333,R_3OdluHQD8p5Y1jI,0.4572925658930858,92,33,50,19,61.5,54.0,60.0,36.5,50.0,42.833333333333336
61,0.3767350174074931,30.366666666666667,R_3NXpX3Dn79ECwSP,0.6014518372205763,48,8,7,91,65.0,29.0,68.5,65.0,83.0,32.166666666666664
62,0.3404130431367914,23.966666666666665,R_3NQAtPnQqy4SCZ9,0.3105463314725014,56,28,9,6,44.5,40.5,59.0,73.5,29.5,60.5
63,0.3127233875494362,23.733333333333334,R_3NHPwdeshwxPQTQ,0.6754610642597122,100,34,49,58,24.0,54.5,5.5,48.5,73.0,64.0
64,0.24065097798508447,17.866666666666667,R_3MtCxDOt9K12f63,0.1186040042771089,76,4,41,1,52.0,48.0,39.0,21.5,84.5,51.16666666666666
65,0.3161535606863502,23.5,R_3MDrSHiK8uRbaxb,0.0856214167175992,76,26,62,34,39.0,49.0,8.0,12.0,61.0,18.166666666666668
66,0.2512910096756131,20.4,R_3KPnTpsvT6Z74lH,0.4283451515021846,5,1,9,62,44.5,8.0,14.5,34.0,67.0,52.16666666666666
67,0.4025163237124561,32.13333333333333,R_3Jw8zxPmxLH4VDX,0.1096581950547891,74,0,80,21,53.0,42.0,3.0,25.0,27.0,97.33333333333331
68,0.36061158124201054,30.733333333333334,R_3JsgXCaoP5xYnWk,0.3463130102735703,71,1,2,1,26.5,50.5,1.0,30.5,13.5,77.16666666666667
69,0.3582539602118054,29.166666666666668,R_3JDjImIFN1Iphrb,0.5328544581805191,86,17,66,27,68.0,54.0,20.5,21.5,56.5,47.66666666666666
70,0.26171117960833656,20.5,R_3I66jqia0NNXiWu,0.6224326004139471,71,3,50,6,32.0,71.0,69.0,10.5,63.5,28.0
71,0.16646720789715388,12.166666666666666,R_3GjKZrv16V62o22,0.8146636270587299,100,2,65,23,52.5,49.0,62.5,19.5,42.0,72.66666666666667
72,0.23690065029782378,19.0,R_3GD4uesxt0Kgux4,0.7262059900906777,100,4,51,75,68.5,49.0,1.5,89.0,83.5,45.333333333333336
73,0.27160293396517765,23.2,R_3F5qzWacCWau3yN,0.3974314593387118,3,83,55,38,49.5,94.5,94.0,44.5,47.0,6.5
74,0.2864415981606699,20.566666666666666,R_3F3hxbVd2h0tCIV,0.418742426972938,100,3,52,2,54.0,26.0,55.0,34.0,71.5,21.33333333333333
75,0.2323595522611317,15.9,R_3EyQZYsnfw2yVSF,0.6449316539459232,71,1,8,27,46.0,36.0,55.5,57.0,83.5,50.833333333333336
76,0.21006211073140993,14.966666666666667,R_3EsgDx0IsR9T6kM,0.8113190630009146,86,10,44,29,37.5,65.5,63.0,18.5,61.5,54.333333333333336
77,0.2459451055108886,17.166666666666668,R_32VgR8FN8oBjGYO,0.7878763481265493,73,38,29,3,60.0,53.5,10.0,27.0,71.0,78.0
78,0.27306272943359367,22.166666666666668,R_32OS19MvDXMArYw,0.3453183922872482,93,10,21,41,68.0,38.5,39.5,44.0,37.5,70.0
79,0.3722692182900125,31.366666666666667,R_2zvwjTShxb2844g,0.074886410751889,2,5,6,2,72.5,97.5,23.5,75.0,98.0,1.8333333333333333
80,0.37996619048377206,27.3,R_2zoKpp8wOBDfFgB,0.4296996956736678,69,1,8,24,36.5,45.5,66.5,75.5,73.0,59.0
81,0.2211754307781365,19.3,R_2zT6tLwLYxXtInw,0.5002258541443034,87,10,32,6,48.5,47.5,16.5,7.0,45.5,22.5
82,0.32598901846620865,25.3,R_2yllXHHwpmVXs56,0.6012380030842551,44,1,16,16,14.5,40.0,33.5,7.0,65.0,37.5
83,0.364587692773777,30.266666666666666,R_2xVIliYauw28VBu,0.2350949680183123,18,54,64,60,48.0,60.5,53.0,71.0,37.0,29.33333333333333
84,0.18668167282334103,12.733333333333333,R_2wM0WWl1IwS7HDL,0.7489938389137464,99,19,40,62,47.0,54.5,38.5,39.5,57.0,12.833333333333334
85,0.3555580718617854,27.433333333333334,R_2vjFyy84mbQ49PC,0.5388047075419717,68,2,0,27,62.0,51.0,2.0,52.5,99.5,6.166666666666667
86,0.2588879385821106,19.766666666666666,R_2tlDb7NIeHU2D8z,0.5879174205919744,61,4,27,1,83.5,67.5,49.0,18.0,90.0,8.333333333333334
87,0.1965510186710015,16.966666666666665,R_2tN6BNwGOreXyYV,0.653431824630022,57,28,33,91,61.0,95.5,52.5,89.5,73.0,47.333333333333336
88,0.3241239908855649,27.966666666666665,R_2t6cZ1kuHTodUNC,0.6215176609585819,81,14,61,27,46.5,75.5,16.5,51.0,97.5,31.5
89,0.3648407576499476,32.7,R_2sTJ9fbSRO6V3NV,0.1896311329725261,39,31,47,1,5.5,81.5,29.0,0.5,99.0,42.16666666666666
90,0.5494434933877954,50.8,R_2ro7tJW8SttKywH,0.3321563646396921,75,42,24,20,27.0,65.0,2.0,64.5,26.0,97.66666666666669
91,0.49705921393438357,40.3,R_2foBzq59EtC15h7,0.221910190498516,100,2,53,18,65.0,74.0,61.5,76.5,82.0,7.166666666666667
92,0.3290763264005224,21.466666666666665,R_2f84qBuORiScmHa,0.1204643011288054,75,12,37,7,79.0,86.5,29.5,78.0,56.0,39.333333333333336
93,0.23185864402923625,17.0,R_2e2mgvRZRrKxH2G,0.7606709745737683,100,1,74,65,47.5,42.5,47.0,21.5,83.5,50.0
94,0.2611803646210126,22.733333333333334,R_2dY2LnTg7Eu85mk,0.5252100344907856,100,1,100,69,51.0,54.0,94.5,15.0,77.5,39.5
95,0.4023509733383354,29.333333333333332,R_2dAXglDMZYkYd5o,0.4704421085504767,100,37,10,70,91.5,69.0,41.0,15.0,97.0,20.0
96,0.16914774208678135,14.2,R_2cARDKqXJjDr3zc,0.3984792935854263,90,1,17,1,47.5,60.5,43.5,8.0,75.0,34.5
97,0.28248250518220275,22.266666666666666,R_2c5fs9OIrTDfmRo,0.7044418046587381,91,41,25,47,52.5,36.0,59.0,75.0,42.0,85.66666666666667
98,0.2030132808000836,16.4,R_2aggZJAPHJr2aWm,0.7541703823131761,100,0,38,7,84.0,57.5,1.0,11.0,83.0,51.333333333333336
99,0.06437740283418035,5.633333333333334,R_2aaCeNY8gF1DJt7,0.818925822829405,20,16,14,2,55.5,86.5,53.5,46.5,16.5,0.5
100,0.27673010202326204,21.8,R_2YLJgCMEy06NXbE,0.4933131319767356,100,6,25,51,35.0,84.0,13.0,31.0,14.5,68.83333333333333
101,0.29184934130891155,25.266666666666666,R_2Y5hhEdAL6pgwmx,0.5070827909865409,0,1,2,2,39.5,50.0,27.0,36.0,18.0,10.833333333333334
102,0.2824058821574719,20.4,R_2WUxQboeZhcMj6M,0.4476782388722565,98,28,12,19,26.5,24.5,2.0,8.5,92.0,63.5
103,0.2417653196958823,18.9,R_2VL9UIbnODNlHjD,0.6884066110108004,61,27,9,19,75.5,49.5,4.0,25.5,88.5,17.0
104,0.23423524773665713,20.2,R_2V7KFoNhU7rGNkD,0.6362133919946975,52,7,34,6,77.5,73.0,59.0,25.0,32.5,37.833333333333336
105,0.21807129545062634,16.0,R_2TFdnS5xYt3J4dD,0.4653894620835296,100,23,44,33,64.0,39.5,35.0,53.0,40.0,68.66666666666667
106,0.28579063050274706,23.866666666666667,R_2SoAympZO87csOn,0.6115169243924884,59,10,8,35,23.5,58.5,53.5,26.5,67.5,46.16666666666666
107,0.25852188185407965,21.0,R_2SJLVjP16T3j9s7,0.431760628035959,52,13,49,35,49.0,48.0,63.5,69.5,17.5,67.66666666666667
108,0.29060336013214016,22.133333333333333,R_2S69rqwq39WL06Z,0.4484389080181629,84,5,8,13,69.5,48.5,46.5,7.5,83.0,59.5
109,0.3510860706007067,23.0,R_2QSRIfO6OawZRlu,0.6257283578288729,32,24,3,79,58.5,78.5,47.0,63.0,66.0,25.666666666666668
110,0.2372946285432729,15.566666666666666,R_2PuqRQn9zAoCjMP,0.4220491520688924,63,78,48,87,68.0,96.0,74.5,73.0,81.0,37.0
111,0.3836814227732374,35.766666666666666,R_2Pj7IrCc4VsGE05,0.3114665941694146,50,0,51,25,24.5,74.5,20.0,24.5,76.5,5.833333333333333
112,0.2944385209974744,25.733333333333334,R_2DV3lLp3QohknMp,0.5262307877421123,72,11,73,28,44.5,66.0,40.5,14.0,64.0,12.5
113,0.4518033497743145,39.333333333333336,R_2CZEM1sYej06X88,0.4604281411114242,93,16,7,9,57.0,77.0,73.0,53.5,89.0,18.666666666666668
114,0.25696189188918994,16.6,R_2CUmNiOcdDaFBeb,0.4568312641700416,56,20,40,40,75.5,63.5,40.0,61.5,54.5,38.66666666666666
115,0.3507754506608172,24.0,R_2ByUsWf6i5vl3Dd,0.5491865372706785,60,1,1,36,40.0,81.0,37.5,21.0,83.0,42.833333333333336
116,0.45441381049774277,36.666666666666664,R_2BwCnpl0vIbV2hr,0.2935896656529302,76,8,20,38,50.0,56.0,75.0,50.0,43.5,11.5
117,0.190478386329996,12.933333333333334,R_2BtCtVEOpQitsoo,0.7747365849004134,86,14,69,37,45.0,49.5,26.5,30.5,44.0,62.333333333333336
118,0.20075102977707246,15.666666666666666,R_27sxAQAzfrl8PVg,0.7492996225227189,58,10,23,8,73.5,69.5,77.0,21.0,72.5,31.0
119,0.26436120840367355,19.766666666666666,R_27fZrjxepWJQ22w,0.4849701852667585,100,2,50,5,71.5,68.0,79.5,15.0,24.0,21.83333333333333
120,0.08791206422792136,7.233333333333333,R_27Kfq1xEjtPNiyc,0.8790409384602265,35,10,50,13,15.5,60.5,54.5,50.5,74.5,34.333333333333336
121,0.15850283287174766,14.0,R_25z5G0XkywDOvCD,-0.0130232909278066,58,23,26,7,31.0,55.5,65.5,41.0,69.0,7.166666666666667
122,0.2825080317860956,21.566666666666666,R_25QNosftdkT2xjT,0.6633557935418813,41,38,35,14,58.0,67.5,63.5,46.5,26.0,32.166666666666664
123,0.22859340179813278,16.3,R_24dduUJHqHNBlqf,0.5756411372134778,65,7,15,30,51.0,50.0,54.0,53.0,61.5,10.666666666666666
124,0.4333852891698488,35.766666666666666,R_23e2iB3ISeimD1c,0.3675932839985663,49,3,40,48,1.0,46.5,79.5,11.5,56.0,27.166666666666668
125,0.21342507355360896,16.9,R_232XRzqxJzaWDk7,0.8067184815907998,65,8,14,75,57.0,72.0,7.5,30.0,60.0,56.66666666666666
126,0.31821905014208196,24.066666666666666,R_22lT31xvVegvQiZ,0.5763782250792381,72,3,26,39,8.0,44.5,46.5,38.5,94.0,42.833333333333336
127,0.21491613279390714,18.033333333333335,R_21ERXLC2tIGR9IL,0.6947406540283937,100,0,0,96,61.5,37.5,0.0,97.5,99.5,91.83333333333331
128,0.3106613588590676,24.366666666666667,R_1r1ifu4dEWRe7Ht,0.1325181322921854,65,1,26,47,56.0,57.5,17.5,54.0,64.0,44.5
129,0.22713520224032693,17.233333333333334,R_1qgIb2COueBtRuN,0.6720887879833566,77,0,1,12,19.5,36.5,16.5,74.5,74.5,60.5
130,0.3178771366978336,22.7,R_1qdNLdgBCBJRR6t,0.7415430352526393,7,4,5,40,26.0,9.0,2.5,2.5,98.0,31.5
131,0.3322162658439959,24.4,R_1q4gMDhxQ5EJWak,0.6898127918291599,63,13,48,23,68.0,67.0,60.5,39.0,53.5,57.333333333333336
132,0.2538673904898402,21.566666666666666,R_1pKBlbenfYvpqOK,0.5856510774669226,97,5,77,9,50.5,50.0,31.0,66.5,69.5,53.16666666666666
133,0.21561734985596276,15.633333333333333,R_1nZJOxhzhFFOzTk,0.7425883940709616,22,47,31,17,72.5,96.0,95.0,21.5,99.0,1.0
134,0.4386270018980778,39.2,R_1nPhb0ttOyrYVvV,0.4442417355298129,95,9,5,80,20.5,6.5,58.5,11.0,81.0,57.0
135,0.1723396604693452,13.3,R_1mpZV3JJm3fyzMU,0.6135740104172323,97,17,46,65,18.5,46.5,19.5,38.5,67.5,85.66666666666667
136,0.45663123091349345,35.233333333333334,R_1mfO8FBx2wd7iwQ,-0.4516254950618179,93,41,59,69,65.0,41.5,57.5,37.5,95.0,47.5
137,0.2203539961476228,14.533333333333333,R_1kYBjRVdu6si9eK,0.2467379846472356,15,40,69,86,40.5,63.0,52.0,64.5,33.5,86.16666666666667
138,0.24363214770993985,20.133333333333333,R_1jpOTeRYHcMZE7G,0.6780570362030937,87,9,10,2,60.0,11.5,10.0,19.0,88.0,57.16666666666666
139,0.2843000917692994,24.1,R_1jp2Vcr7zvthK6g,0.5330011550144631,45,1,1,6,81.0,31.5,25.5,17.0,87.0,48.5
140,0.2574498432202909,19.733333333333334,R_1jlmROUDS8n1RsX,0.3931795356800586,75,1,6,19,55.0,74.0,51.0,57.5,89.0,27.666666666666668
141,0.33680394367411953,26.866666666666667,R_1ettBgPl5x4e1Qa,0.2040233091783315,100,0,0,54,49.0,86.0,37.5,78.0,81.5,19.33333333333333
142,0.5931792460750568,52.9,R_1dKXEtymoF8ej0c,-0.0246458877599067,100,2,32,52,15.0,66.5,61.0,33.5,100.0,42.833333333333336
143,0.13239930887806095,9.933333333333334,R_1dK6iII8FaY3GHX,0.8249270715394332,49,21,40,4,41.0,62.0,26.5,27.0,93.5,40.833333333333336
144,0.2272544278339063,17.866666666666667,R_1dK3EuUshdghSwA,0.0601413491991744,63,5,36,2,49.5,47.0,88.5,20.5,17.0,45.833333333333336
145,0.2530389363722697,24.7,R_1SMq0FNKMstSGWt,0.4772343583742949,100,1,47,1,8.5,67.0,0.5,48.0,95.5,15.0
146,0.20355321605198898,17.666666666666668,R_1QmzsIE3KtbHofX,0.6460365474428542,62,1,3,53,9.0,23.0,39.5,2.5,70.0,32.333333333333336
147,0.3353563846210419,29.366666666666667,R_1QGxSdRtZ61O6tB,0.337752785537752,77,0,7,0,29.5,46.0,49.5,65.5,81.5,36.5
148,0.29088617839146097,25.533333333333335,R_1QEiDU7TY0gwSrr,0.5866370496233348,28,1,1,16,77.5,37.5,34.0,47.0,45.0,57.333333333333336
149,0.23091548622558652,17.533333333333335,R_1PYJv1cIBVbmueP,0.6776994369290982,84,25,51,81,77.0,66.5,50.0,33.5,76.5,36.16666666666666
150,0.2824363043962373,21.266666666666666,R_1NqqEYprXC7q4JW,0.3745780439349718,52,5,0,0,19.5,71.5,82.5,31.5,86.5,26.166666666666668
151,0.232973161186367,19.5,R_1LqbJP0Aoj4iZvu,0.5648259008720966,80,3,27,0,77.5,65.0,87.5,45.0,66.0,5.333333333333333
152,0.5016999659653991,39.06666666666667,R_1LhvIWm77S12vIU,0.0195348532695219,100,2,5,6,20.0,45.0,43.0,55.0,79.0,48.66666666666666
153,0.25769374604586665,19.3,R_1LSyR7MFbXlnml7,0.6395140645569634,94,1,60,18,58.5,38.0,7.0,43.5,58.5,61.0
154,0.3397439951050504,24.733333333333334,R_1LLm1cBXcHZ2agt,0.6159878933329364,48,1,1,75,80.5,96.0,50.5,34.0,98.0,43.16666666666666
155,0.3931114281985322,32.93333333333333,R_1LHH9d6oQmkUggK,0.1245837915120385,50,8,11,5,8.5,57.0,17.0,42.0,84.0,22.33333333333333
156,0.24484589911641993,15.166666666666666,R_1JDcJVADsdDiVz0,0.4898279136385029,12,58,45,55,49.0,90.0,53.0,46.0,73.5,58.66666666666666
157,0.40131054246994774,26.833333333333332,R_1IorIggkjx8XUC4,0.2556434351860431,100,13,24,73,41.5,50.0,2.0,44.0,85.0,45.0
158,0.19125748939025117,15.8,R_1HpKmU3KgoCx3IY,0.582570091230615,55,14,54,10,63.0,50.5,26.5,53.0,52.5,57.333333333333336
159,0.26322559028386283,25.666666666666668,R_1GE9ZsAKt835inK,0.6396933088750475,100,1,5,64,62.5,95.0,70.5,46.5,16.0,22.5
160,0.4002937279898248,33.53333333333333,R_1EbvrjDepF4dLOJ,0.4594526098841581,35,16,14,10,58.5,59.5,72.0,39.5,67.0,1.6666666666666667
161,0.312,30.166666666666668,R_1Cw5IFxX5rp3mCC,0.0924768124310841,55,10,34,4,31.5,45.5,72.0,90.5,95.5,44.66666666666666
162,0.16560990474577325,12.933333333333334,R_1C7xxhfigfiFeGd,0.6900331405411957,96,4,18,22,50.0,37.0,29.5,71.0,66.5,22.666666666666668
163,0.23318972630024798,19.366666666666667,R_115yBhuX4Gpfl7I,0.4256335774274742,91,3,2,1,71.0,48.5,2.0,2.0,55.0,10.833333333333334
164,0.24243633905502876,18.633333333333333,R_0HA5zwgug5fIcdH,0.592387175064194,76,17,7,19,69.0,41.5,39.5,43.5,79.5,51.5
165,0.5038351381491384,39.53333333333333,R_0D0ajAEU2dcbJuN,0.2619976965873998,100,11,73,72,57.0,38.5,81.0,69.5,87.0,20.5
